员工ID,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好
1,33,女,本科,0.8,2.8,3.69,2,0,1,1,4,3,9.5,0,0,0,1,0,0,0,1,0,,1,0,0,2,1,2,0,0,17,否,4,3,5,3,3,1,2,1,4,2,1,3,2,1,3,A-,B+,B,无,无
2,30,男,本科,6.8,2.8,3.34,1,0,0,1,0,0,7.9,1,1,0,0,0,0,0,0,1,创新奖,1,0,1,3,1,1,0,1,24,是,2,5,2,4,5,2,5,5,1,5,1,5,1,5,5,B,A+,B-,无,无
3,34,女,本科,3.1,3.4,2.91,1,0,1,4,0,3,7.8,1,0,0,0,0,0,0,0,0,,3,0,1,3,1,1,0,0,16,是,4,4,3,3,1,1,5,5,2,1,2,5,3,1,1,B,B+,B,无,无
4,38,女,本科,3.4,3.2,4.12,1,1,0,1,0,2,8.7,0,1,0,0,0,0,0,0,0,,1,0,1,0,1,1,0,0,21,是,5,1,1,2,5,1,4,5,3,1,4,5,3,2,2,B-,A+,A,写作,无
5,29,女,本科,1.6,5.4,3.35,0,1,1,0,1,1,9.9,0,0,0,0,0,0,0,0,1,技术标兵,1,0,0,4,0,2,0,0,20,是,2,4,2,4,1,3,3,4,3,3,1,5,5,5,2,A-,A,B-,演讲,无
6,29,男,本科,1.2,4.2,3.49,0,0,2,2,0,1,7.7,0,1,0,1,0,1,0,0,0,,2,0,1,3,0,1,0,0,27,是,5,5,3,3,3,4,3,5,1,1,1,2,5,2,4,B+,B+,B,无,无
7,38,女,博士,0.8,8.3,3.69,0,0,0,1,2,1,7.2,0,1,1,0,1,0,0,1,0,,2,0,3,2,0,0,1,0,19,否,1,4,1,2,1,3,4,1,1,3,1,4,1,1,4,A,B,,无,无
8,34,男,硕士,3.1,5.6,3.04,1,1,2,3,0,0,7.6,0,1,0,0,0,1,0,1,1,创新奖,0,1,1,1,0,0,0,0,20,是,3,1,4,5,1,1,2,5,2,5,4,4,1,1,1,B+,A,A,项目管理,无
9,28,女,本科,1.1,3.3,3.36,0,0,1,4,0,0,6.4,0,0,0,0,0,1,0,0,0,,2,1,1,1,0,0,0,0,20,否,2,5,5,4,1,5,3,1,4,1,3,3,5,1,2,B+,B+,,无,无
10,33,男,博士,0.8,2.4,3.93,0,0,1,2,2,6,8.9,0,0,0,0,0,0,0,1,1,优秀员工,2,1,0,0,0,2,1,0,20,否,3,5,3,5,2,2,3,2,1,3,5,4,2,5,4,B-,B+,B+,演讲,无
